node1,node2
susan collins,supreme court
chuck grassley,ford testimony
chuck grassley,misogyny
chuck grassley,ford
ford testimony,misogyny
ford testimony,ford
misogyny,ford
kamala harris,brett kavanaugh
kamala harris,supreme court
brett kavanaugh,supreme court
tony,scott walker
tony,tony
scott walker,tony
phil bredesen,donald
phil bredesen,senate
phil bredesen,bitlygjiuzs
donald,senate
donald,bitlygjiuzs
senate,bitlygjiuzs
kulkarni,congress
kulkarni,sri preston kulkarni
kulkarni,pete olson
congress,sri preston kulkarni
congress,pete olson
sri preston kulkarni,pete olson
working families party,stacey abrams
working families party,matchup
working families party,stacey abrams   brian kemp
working families party,stacey abrams
stacey abrams,matchup
stacey abrams,stacey abrams   brian kemp
stacey abrams,stacey abrams
matchup,stacey abrams   brian kemp
matchup,stacey abrams
stacey abrams   brian kemp,stacey abrams
ross spano,ross spano
ross spano,congress
ross spano,congress
tracy mitrano,congress
tracy mitrano,tom reed
tracy mitrano,congress
congress,tom reed
congress,congress
tom reed,congress
heidi heitkamp,washington post
heidi heitkamp,senate
washington post,senate
cia,star
cia,michael hayden
star,michael hayden
claire mccaskill   ,josh hawley
claire mccaskill   ,senate
claire mccaskill   ,senate
claire mccaskill   ,senate
josh hawley,senate
josh hawley,senate
josh hawley,senate
senate,senate
senate,senate
senate,senate
sandy hook,butterfly dylan
sandy hook,congress
butterfly dylan,congress
beto rourke,beto rourke
beto rourke,hall beto
beto rourke,senate
beto rourke,hall beto
beto rourke,senate
hall beto,senate
elaine phillips,senate
elaine phillips,elaine phillips
elaine phillips,elaine phillips
elaine phillips,senate
senate,elaine phillips
senate,elaine phillips
senate,senate
elaine phillips,elaine phillips
elaine phillips,senate
elaine phillips,senate
conor lamb,keith
conor lamb,pa    
keith,pa    
brett kavanaugh,susan collins
brett kavanaugh,kavanaugh
brett kavanaugh,susan collins
brett kavanaugh,brett kavanaugh
brett kavanaugh,susan collins
brett kavanaugh,susan collins
brett kavanaugh,supreme court
susan collins,kavanaugh
susan collins,susan collins
susan collins,brett kavanaugh
susan collins,susan collins
susan collins,susan collins
susan collins,supreme court
kavanaugh,susan collins
kavanaugh,brett kavanaugh
kavanaugh,susan collins
kavanaugh,susan collins
kavanaugh,supreme court
susan collins,brett kavanaugh
susan collins,susan collins
susan collins,susan collins
susan collins,supreme court
brett kavanaugh,susan collins
brett kavanaugh,susan collins
brett kavanaugh,supreme court
susan collins,susan collins
susan collins,supreme court
susan collins,supreme court
sierra club,sierra
sierra club,haven coleman
sierra club,jackie biskupski
sierra club,greg lemons
sierra,haven coleman
sierra,jackie biskupski
sierra,greg lemons
haven coleman,jackie biskupski
haven coleman,greg lemons
jackie biskupski,greg lemons
jim gibson,jim
jim gibson,jim gibson
jim,jim gibson
janee hanzlick,janee hanzlick
janee hanzlick,janee
janee hanzlick,janee
janee hanzlick,janee hanzlick
janee hanzlick,janee
janee hanzlick,janee
janee hanzlick,janee hanzlick
janee,janee
janee,janee hanzlick
janee,janee hanzlick
ted cruz,beto rourke
ted cruz,beto
ted cruz,kate
beto rourke,beto
beto rourke,kate
beto,kate
jeff weaver,moveon
jeff weaver,karine jeanpierre
jeff weaver,jonathan cowan
jeff weaver,steven rattner
moveon,karine jeanpierre
moveon,jonathan cowan
moveon,steven rattner
karine jeanpierre,jonathan cowan
karine jeanpierre,steven rattner
jonathan cowan,steven rattner
republican party,republican party
republican party,republican party
republican party,chili    great chili powder
republican party,chili   chili
republican party,chili flavor           home
republican party,cook chili
republican party,chili
republican party,spicespenzeyscouponhtml    
republican party,chili    chili      place
republican party,republican party
republican party,republican party
republican party,chili    great chili powder
republican party,chili   chili
republican party,chili flavor           home
republican party,cook chili
republican party,chili
republican party,spicespenzeyscouponhtml    
republican party,chili    chili      place
republican party,republican party
republican party,chili    great chili powder
republican party,chili   chili
republican party,chili flavor           home
republican party,cook chili
republican party,chili
republican party,spicespenzeyscouponhtml    
republican party,chili    chili      place
republican party,republican party
chili    great chili powder,chili   chili
chili    great chili powder,chili flavor           home
chili    great chili powder,cook chili
chili    great chili powder,chili
chili    great chili powder,spicespenzeyscouponhtml    
chili    great chili powder,chili    chili      place
chili    great chili powder,republican party
chili   chili,chili flavor           home
chili   chili,cook chili
chili   chili,chili
chili   chili,spicespenzeyscouponhtml    
chili   chili,chili    chili      place
chili   chili,republican party
chili flavor           home,cook chili
chili flavor           home,chili
chili flavor           home,spicespenzeyscouponhtml    
chili flavor           home,chili    chili      place
chili flavor           home,republican party
cook chili,chili
cook chili,spicespenzeyscouponhtml    
cook chili,chili    chili      place
cook chili,republican party
chili,spicespenzeyscouponhtml    
chili,chili    chili      place
chili,republican party
spicespenzeyscouponhtml    ,chili    chili      place
spicespenzeyscouponhtml    ,republican party
