node1,node2
fox point,cakes   wwwpenzeysshoprecipesmamacrabcakes
national park foundation,national park foundation
national park foundation,national park foundation
national park foundation,national park foundation
amp kindness,republican party
amp kindness,wisconsin    test ground    
amp kindness,white house
amp kindness,galena
amp kindness,republican party
amp kindness,republican party
amp kindness,garlicky mitchell street
amp kindness,spicespenzeyscouponhtml
amp kindness,mitchell
amp kindness,tammy baldwin
amp kindness,bill penzey
republican party,wisconsin    test ground    
republican party,white house
republican party,galena
republican party,republican party
republican party,republican party
republican party,garlicky mitchell street
republican party,spicespenzeyscouponhtml
republican party,mitchell
republican party,tammy baldwin
republican party,bill penzey
wisconsin    test ground    ,white house
wisconsin    test ground    ,galena
wisconsin    test ground    ,republican party
wisconsin    test ground    ,republican party
wisconsin    test ground    ,garlicky mitchell street
wisconsin    test ground    ,spicespenzeyscouponhtml
wisconsin    test ground    ,mitchell
wisconsin    test ground    ,tammy baldwin
wisconsin    test ground    ,bill penzey
white house,galena
white house,republican party
white house,republican party
white house,garlicky mitchell street
white house,spicespenzeyscouponhtml
white house,mitchell
white house,tammy baldwin
white house,bill penzey
galena,republican party
galena,republican party
galena,garlicky mitchell street
galena,spicespenzeyscouponhtml
galena,mitchell
galena,tammy baldwin
galena,bill penzey
republican party,republican party
republican party,garlicky mitchell street
republican party,spicespenzeyscouponhtml
republican party,mitchell
republican party,tammy baldwin
republican party,bill penzey
republican party,garlicky mitchell street
republican party,spicespenzeyscouponhtml
republican party,mitchell
republican party,tammy baldwin
republican party,bill penzey
garlicky mitchell street,spicespenzeyscouponhtml
garlicky mitchell street,mitchell
garlicky mitchell street,tammy baldwin
garlicky mitchell street,bill penzey
spicespenzeyscouponhtml,mitchell
spicespenzeyscouponhtml,tammy baldwin
spicespenzeyscouponhtml,bill penzey
mitchell,tammy baldwin
mitchell,bill penzey
tammy baldwin,bill penzey
span,kavanaugh      scotus
span,span supreme court
kavanaugh      scotus,span supreme court
kelda helen,republican party
kelda helen,garlicky mitchell street
kelda helen,wwwpenzeysmitchellstreetpd
kelda helen,spicespenzeyscouponhtml
kelda helen,mitchell
kelda helen,republican party
kelda helen,white house
kelda helen,republican party
kelda helen,republican party
kelda helen,kelda
kelda helen,tammy baldwin   
kelda helen,baldwin   
republican party,garlicky mitchell street
republican party,wwwpenzeysmitchellstreetpd
republican party,spicespenzeyscouponhtml
republican party,mitchell
republican party,republican party
republican party,white house
republican party,republican party
republican party,republican party
republican party,kelda
republican party,tammy baldwin   
republican party,baldwin   
garlicky mitchell street,wwwpenzeysmitchellstreetpd
garlicky mitchell street,spicespenzeyscouponhtml
garlicky mitchell street,mitchell
garlicky mitchell street,republican party
garlicky mitchell street,white house
garlicky mitchell street,republican party
garlicky mitchell street,republican party
garlicky mitchell street,kelda
garlicky mitchell street,tammy baldwin   
garlicky mitchell street,baldwin   
wwwpenzeysmitchellstreetpd,spicespenzeyscouponhtml
wwwpenzeysmitchellstreetpd,mitchell
wwwpenzeysmitchellstreetpd,republican party
wwwpenzeysmitchellstreetpd,white house
wwwpenzeysmitchellstreetpd,republican party
wwwpenzeysmitchellstreetpd,republican party
wwwpenzeysmitchellstreetpd,kelda
wwwpenzeysmitchellstreetpd,tammy baldwin   
wwwpenzeysmitchellstreetpd,baldwin   
spicespenzeyscouponhtml,mitchell
spicespenzeyscouponhtml,republican party
spicespenzeyscouponhtml,white house
spicespenzeyscouponhtml,republican party
spicespenzeyscouponhtml,republican party
spicespenzeyscouponhtml,kelda
spicespenzeyscouponhtml,tammy baldwin   
spicespenzeyscouponhtml,baldwin   
mitchell,republican party
mitchell,white house
mitchell,republican party
mitchell,republican party
mitchell,kelda
mitchell,tammy baldwin   
mitchell,baldwin   
republican party,white house
republican party,republican party
republican party,republican party
republican party,kelda
republican party,tammy baldwin   
republican party,baldwin   
white house,republican party
white house,republican party
white house,kelda
white house,tammy baldwin   
white house,baldwin   
republican party,republican party
republican party,kelda
republican party,tammy baldwin   
republican party,baldwin   
republican party,kelda
republican party,tammy baldwin   
republican party,baldwin   
kelda,tammy baldwin   
kelda,baldwin   
tammy baldwin   ,baldwin   
amnesty international usa,congress
amnesty international usa,congress
congress,congress
nixon,bob woodward
nixon,donald trump
nixon,white house
bob woodward,donald trump
bob woodward,white house
donald trump,white house
national democratic training committee,msnbc
national democratic training committee,msnbc
national democratic training committee,fox news
national democratic training committee,msnbc
msnbc,msnbc
msnbc,fox news
msnbc,msnbc
msnbc,fox news
msnbc,msnbc
fox news,msnbc
rupert murdoch,roger
rupert murdoch,fox broadcasting            
rupert murdoch,fox news
rupert murdoch,fox
rupert murdoch,nfl
rupert murdoch,republican party
rupert murdoch,edwin starr song war
rupert murdoch,nike
rupert murdoch,nfl
rupert murdoch,fox point
rupert murdoch,nfl
rupert murdoch,navajo
rupert murdoch,nfl
rupert murdoch,google
roger,fox broadcasting            
roger,fox news
roger,fox
roger,nfl
roger,republican party
roger,edwin starr song war
roger,nike
roger,nfl
roger,fox point
roger,nfl
roger,navajo
roger,nfl
roger,google
fox broadcasting            ,fox news
fox broadcasting            ,fox
fox broadcasting            ,nfl
fox broadcasting            ,republican party
fox broadcasting            ,edwin starr song war
fox broadcasting            ,nike
fox broadcasting            ,nfl
fox broadcasting            ,fox point
fox broadcasting            ,nfl
fox broadcasting            ,navajo
fox broadcasting            ,nfl
fox broadcasting            ,google
fox news,fox
fox news,nfl
fox news,republican party
fox news,edwin starr song war
fox news,nike
fox news,nfl
fox news,fox point
fox news,nfl
fox news,navajo
fox news,nfl
fox news,google
fox,nfl
fox,republican party
fox,edwin starr song war
fox,nike
fox,nfl
fox,fox point
fox,nfl
fox,navajo
fox,nfl
fox,google
nfl,republican party
nfl,edwin starr song war
nfl,nike
nfl,nfl
nfl,fox point
nfl,nfl
nfl,navajo
nfl,nfl
nfl,google
republican party,edwin starr song war
republican party,nike
republican party,nfl
republican party,fox point
republican party,nfl
republican party,navajo
republican party,nfl
republican party,google
edwin starr song war,nike
edwin starr song war,nfl
edwin starr song war,fox point
edwin starr song war,nfl
edwin starr song war,navajo
edwin starr song war,nfl
edwin starr song war,google
nike,nfl
nike,fox point
nike,nfl
nike,navajo
nike,nfl
